PLAYER_NAME,TEAM_ID,POSITION_NAME,POSITION_DISPLAY_NAME,RAW_STAT,MAPPED_STAT,RAW_LINE,LINE
Momochi,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,period_1_2_fantasy_points,,40.34,40.34
Zothve,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,period_1_2_fantasy_points,,41.85,41.85
cody,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,period_1_2_fantasy_points,,52.61,52.61
Peach,2cd2e7a4-409f-4a04-bf13-8f80d1c2c823,Gamer,Gamer,period_1_2_fantasy_points,,50.86,50.86
Lospa,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,kills_on_maps_1_2,,1.5,1.5
Lospa,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,assists_on_maps_1_2,,20.5,20.5
Lospa,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,period_1_2_fantasy_points,,41.72,41.72
Alvaro,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,kills_on_maps_1_2,,1.5,1.5
Empyros,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,kills_on_maps_1_2,,10.5,10.5
Vladi,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,kills_on_maps_1_2,,9.5,9.5
Vladi,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,kills_on_maps_1_2,,11.6,11.6
Vladi,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,kills_on_maps_1_2,,5.5,5.5
Myrwn,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,kills_on_maps_1_2,,10.5,10.5
Myrwn,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,kills_on_maps_1_2,,7.5,7.5
Elyoya,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,kills_on_maps_1_2,,13.5,13.5
Elyoya,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,kills_on_maps_1_2,,9.5,9.5
Empyros,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,kills_on_maps_1_2,,7.5,7.5
Supa,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,kills_on_maps_1_2,,9.5,9.5
Upset,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,kills_on_maps_1_2,,13.5,13.5
Upset,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,kills_on_maps_1_2,,17.5,17.5
Supa,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,kills_on_maps_1_2,,14.5,14.5
Supa,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,kills_on_maps_1_2,,18.5,18.5
Razork,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,kills_on_maps_1_2,,10.5,10.5
Myrwn,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,kills_on_maps_1_2,,4.5,4.5
Upset,ea41a23c-8008-4267-957c-2f411d74f82a,Gamer,Gamer,kills_on_maps_1_2,,9.5,9.5
Jojopyun,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,kills_on_maps_1_2,,8.5,8.5
Jojopyun,ce65228e-aced-4e8e-8594-6858dc3868ea,Gamer,Gamer,kills_on_maps_1_2,,13.5,13.5
